UnitID,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
247825,,,,,,,,,,,,,,,,,,
476869,,,,,,,,,,,,,,,,,,
219602,40,45,41,39,36,37,36,37,36,36,34,32,31,32,27,32,32,28
223001,,,,,,,,,,,,,,,,,,
219851,,,,,,,,,,,,,,,,,,
211006,,,,,,,,,,,,,,,,,,
448770,,,,,,,,,,,,,,,,,,
365213,,,,,,,,,,,,,,,,,,
372356,,,,,,,,,,,,,,,,,,
497301,,,,,,,,,,,,,,,,,,
474924,,,,,,,,,,,,,,,,,,
104568,,,,,,,,,,,,,,,,,,
474915,,,,,,,,,,,,,,,,,,
457679,,,,,,,,,,,,,,,,,,
442295,,,,,,,,,,,,,,,,,,
446048,61,53,58,56,55,65,50,42,58,64,41,,52,,,,,
173744,,,,,,,,,,,,,,,,,,
458131,,,,,,,,,,,,,,,,,,
159513,,,,,,,,,,,,,,,,,,
160320,,,,,,,,,,,,,,,,,,
159522,,,,,,,,,,,,,,,,,,
448071,,,,,,,,,,,,,,,,,,
455354,,,,,,,,,,,,,,,,,,
451468,,,,,,,,,,,,,,,,,,
457563,,,,,,,,,,,,,,,,,,
487348,,,,,,,,,,,,,,,,,,
461652,,,,,,,,,,,,,,,,,,
455141,,,,,,,,,,,,,,,,,,
455877,,,,,,,,,,,,,,,,,,
455275,,,,,,,,,,,,,,,,,,
459277,,,,,,,,,,,,,,,,,,
475015,,,,,,,,,,,,,,,,,,
469957,,,,,,,,,,,,,,,,,,
487506,,,,,,,,,,,,,,,,,,
162830,,,,,,,,,,,,,,,,,,
461555,,,,,,,,,,,,,,,,,,
484899,,,,,,,,,,,,,,,,,,
460862,,,,,,,,,,,,,,,,,,
451574,,,,,,,,,,,,,,,,,,
451149,,,,,,,,,,,,,,,,,,
451158,,,,,,,,,,,,,,,,,,
476753,,,,,,,,,,,,,,,,,,
142407,,,,,,,,,,,,,,,,,,
491826,,,,,,,,,,,,,,,,,,
458070,,,,,,,,,,,,,,,,,,
494524,,,,,,,,,,,,,,,,,,
219170,,,,,,,,,,,,,,,,,,
219338,,,,,,,,,,,,,,,,,,
231420,42,50,42,42,40,42,34,33,33,40,41,34,51,44,41,33,51,45
449931,,,100,,,,100,0,,,71,,,,,,,
158778,,,,,,,,,,,,,,,,,,
448257,,,,,,,,,,,,,,,,,,
440059,,,,,,,,,,,,,,,,,,
494764,,,,,,,,,,,,,,,,,,
441788,,,,,,,,,,,,,,,,,,
486558,,,,,,,,,,,,,,,,,,
227748,,,,,,,,,,,,,,,,,,
438735,,,,,,,,,,,,,,,,,,
441496,,,,,,,,,,,,,,,,,,
482255,,,,,,,,,,,,,,,,,,
445762,,,,,,,,,,,,,,,,,,
427973,,,,,,,,,,,,,,,,,,
457411,,,,,,,,,,,,,,,,,,
250285,,,,,,,,,,,,,,,,,,
187000,,,,,,,,,,,,,,,,,,
447847,,,,,,,,,,,,,,,,,,
176628,39,51,55,50,42,45,55,49,49,43,42,50,44,43,35,38,42,41
161800,,,,,,,,,,,,,,,,,,
158246,,,,,,,,,,,,,,,,,,
109785,72,66,68,63,67,70,68,67,65,63,63,62,66,63,65,56,63,62
237145,,,,,,,,,,,,,,,,,,
487898,,,,,,,,,,,,,,,,,,
164580,94,95,93,91,92,91,89,90,91,90,90,91,91,88,89,87,85,86
206817,7,8,18,8,18,6,11,11,3,10,4,20,13,17,9,18,,
128586,0,0,0,,0,0,,,,,0,0,0,4,0,0,0,0
476601,55,50,38,41,41,0,,,78,50,,,,,,,,
245777,,,,0,100,0,50,50,25,0,50,10,10,20,0,0,17,29
490513,13,33,,,,,,,,,,,,,,,,
495031,,,,,,,,,,,,,,,,,,
449658,39,46,14,25,11,11,8,19,18,8,,,,,,,,
168847,17,16,15,16,14,14,14,14,9,10,17,10,19,11,20,20,20,27
154688,62,62,64,59,57,56,61,58,52,55,55,69,54,59,59,61,67,58
109819,,,,,,,,,,,,,,,,,,
420705,,,,,,,,,,,,,,,,,,
414489,,,,,,,,,,,,,,,,,,
223056,,,,,,,,,,,,,,,,,,
417105,,,,,,,,,,,,,,,,,,
201195,66,70,65,64,67,67,67,68,71,68,70,71,68,73,67,69,67,70
490212,,,,,,,,,,,,,,,,,,
150136,68,67,66,63,61,62,61,60,60,57,55,57,58,59,58,57,54,52
161864,,,,,,,,,,,,,,,,,,
161855,,,,,,,,,,,,,,,,,,
164599,,,,,,,,,,,,,,,,,,
189015,,,,,,,,,,,,,,,,,,
176664,31,36,33,38,26,28,27,36,36,29,26,30,25,28,37,23,34,15
106546,,,,,,,,,,,,,,,,,,
219639,59,44,56,48,71,72,58,43,39,60,64,60,38,34,0,38,40,19
223083,,,,,,,,,,,,,,,,,,
223117,100,,,,67,,100,,100,,33,0,0,,0,57,0,0
444398,35,28,35,31,19,27,32,22,29,15,10,9,67,,,,,
476610,,,,,,,,,,,,,,,,,,
483346,,,,,,,,,,,,,,,,,,
484048,,,,,,,,,,,,,,,,,,
483054,,,,,,,,,,,,,,,,,,
488022,,,,,,,,,,,,,,,,,,
155070,48,35,47,43,36,59,44,42,50,53,41,46,31,30,37,29,17,18
189088,71,74,77,75,74,78,78,75,74,79,76,76,79,76,76,74,72,69
167792,,,,,,,,,,,,,,,90,95,86,79
189097,93,90,92,92,93,91,91,89,90,90,92,89,91,89,89,87,89,89
177719,,,,,,,,,,,100,,0,0,80,0,0,0
156277,,,,,,,,,,,,,,,,,,
132471,41,36,35,36,35,31,33,36,37,41,35,35,35,41,39,34,50,39
109907,,,,,,,,,,,,,,,,,,
197911,52,52,55,52,53,52,40,44,48,48,47,37,40,41,38,38,43,43
154697,,,,,,,,,,,,,,,,,,
235547,,,,,,,,,,,,,,,,,,
160977,92,92,91,89,92,88,88,88,93,88,92,88,91,89,89,90,89,84
235671,,,,,,,,,,,,,,,,,,
437103,,,,,,,,,,,,,,,,,,
158325,,,,,,,,,,,,,,,,,,
158343,,,,,,,,,,,,,,,,,,
483878,,,,,,,,,,,,,,,,,,
168883,,,,,,,,,,,,,,,,,,
380359,,,,,,,,,,,,,,,,,,
164632,51,60,54,59,57,62,57,59,55,50,65,56,57,54,46,45,49,58
164641,11,8,31,46,26,38,35,25,15,27,6,,0,74,14,47,,
223223,,,,,,,,,,,,,,,,,,
223232,82,79,78,79,77,74,70,72,75,75,72,71,70,73,72,74,72,72
168892,,,,,,,,,,,,,,,,,,
476717,57,45,44,54,41,49,57,84,71,100,,,,,,,,
384254,72,60,67,55,72,64,74,52,83,87,82,73,44,58,69,77,0,75
160995,,,,,,,,,,,,,,,,,,
485166,,,,,,,,,,,,,,,,,,
197966,,,,,,,,,,,,,,,,,,
449357,,,,,,,,,,,,,,,,,,
460969,,,,,,,,,,,,,,,,,,
207272,,,,,,,,,,,,,,,,,,
215336,,,,,,,,,,,,,,,,,,
164720,,51,45,45,39,37,28,28,24,29,27,27,32,33,39,52,46,
247065,0,0,0,0,1,,2,0,9,36,0,,,,,,,
444413,20,34,34,29,7,10,22,6,10,26,4,31,18,11,56,0,0,
126359,,,,,,,,,,,,,,,,,,
190956,,,,,,,,,,,,,,,,,,
175421,54,46,50,47,51,36,51,48,37,49,48,54,48,41,33,40,41,39
364760,,,,,,,,,,,,,,,,,,
497091,,,,,,,,,,,,,,,,,,
486309,,,,,,,,,,,,,,,,,,
461193,,,,,,,,,,,,,,,,,,
483559,,,,,,,,,,,,,,,,,,
156286,65,64,66,67,65,64,67,68,66,62,66,69,65,62,60,65,66,62
493567,,,,,,,,,,,,,,,,,,
481571,,,,,,,,,,,,,,,,,,
234669,,,,,,,,,,,,,,,,,,
180814,23,23,24,0,17,13,18,29,39,31,37,26,40,0,17,25,28,26
238324,59,65,86,74,67,54,61,64,68,65,78,91,100,63,53,100,50,86
234696,,,,,,,,,,,,,,,,,,
478953,,,,,,,,,,,,,,,,,,
109934,,,,,,,,,,,,,,,,,,
116563,,,,,,,,,,,,,,,,,,
377722,,,,,,,,,,,,,,,,,,
197984,46,46,45,44,43,44,43,38,38,43,38,37,33,35,49,39,44,47
201283,,,,,,,,,,,,,,,,,,
219709,68,71,72,73,70,70,69,70,68,67,68,67,70,66,65,61,62,62
238333,73,78,75,79,86,73,82,80,78,78,76,77,84,78,79,72,71,70
173124,46,45,47,44,45,44,44,45,46,44,42,50,46,46,46,45,47,42
237172,,,,,,,,,,,,,,,,,,
137591,,,,,,,,,,,,,,,,,,
217721,25,28,24,29,26,22,27,31,30,29,26,27,31,29,27,30,25,24
154712,63,65,65,60,63,63,68,60,59,58,56,52,53,58,55,49,47,54
