UnitID,Control,State
494630,2,TX
189981,2,NY
219833,2,TN
488590,2,OR
150215,2,IN
491552,3,IN
189990,3,NY
475468,3,NJ
231712,1,VA
112127,2,CA
201867,2,OH
490692,3,OH
201928,1,OH
461829,3,CA
190008,2,NY
223898,1,TX
217864,1,SC
211635,2,PA
112172,1,CA
112181,3,CA
112190,1,CA
417327,2,FL
244233,2,FL
406547,2,FL
475477,2,FL
434539,2,FL
144500,1,IL
144209,1,IL
144184,1,IL
144157,1,IL
144166,1,IL
144175,1,IL
144193,1,IL
144218,1,IL
481517,3,MO
234915,2,WA
457697,2,MO
208406,1,OR
217873,2,SC
112251,2,CA
488387,2,CA
112260,2,CA
124283,2,CA
223922,1,TX
211644,1,PA
138947,2,GA
234933,1,WA
201973,1,OH
165334,2,MA
153126,2,IA
211024,2,PA
237321,3,WV
180832,2,NE
190044,2,NY
450401,2,OK
208415,1,OR
139311,1,GA
156417,2,KY
430908,1,PA
169327,2,MI
217882,1,SC
411754,2,OH
198321,1,NC
202046,2,OH
202073,2,OH
219879,1,TN
202134,1,OH
177038,2,KS
217891,2,SC
190053,1,NY
417868,1,NY
260336,1,MO
154907,1,KS
234951,1,WA
112367,1,CA
489201,1,CA
187639,1,NM
366155,3,LA
158538,3,LA
248527,3,LA
449393,3,CA
485412,3,CA
175519,1,MS
112376,1,CA
101161,1,AL
223320,1,TX
198330,1,NC
218724,1,SC
485458,1,GA
450988,3,CA
112385,1,CA
112455,3,CA
104425,1,AZ
190071,2,NY
404426,1,AZ
153144,2,IA
154925,1,KS
217907,2,SC
161086,2,ME
154934,1,KS
182634,2,NH
190080,2,NY
190099,2,NY
230144,3,UT
169442,2,MI
108667,1,CA
388520,2,TX
132851,1,FL
217819,1,SC
139250,1,GA
210340,3,OR
150251,3,IN
144865,1,IL
142179,1,ID
208433,3,OR
180957,3,NE
456287,3,NE
379746,3,TX
146472,1,IL
118347,1,CA
460808,3,ID
413617,2,WI
193399,2,NY
167394,2,MA
174747,2,MN
181604,2,NE
122791,1,CA
142559,1,ID
162122,1,MD
182005,1,NV
190558,1,NY
197814,1,NC
160959,2,ME
111461,1,CA
113573,1,CA
166124,2,MA
226408,1,TX
480967,1,OK
178697,2,MO
121707,1,CA
123217,1,CA
123484,1,CA
455114,1,ID
199078,3,NC
493822,2,RI
247834,1,TX
461953,3,CO
126669,2,CO
126678,2,CO
443632,3,CO
127556,1,CO
126711,1,CO
126748,1,CO
381732,3,CO
126775,1,CO
126784,3,CO
381352,3,CO
128106,1,CO
126818,1,CO
476975,1,CO
446978,1,CO
126827,3,CO
234979,1,WA
479248,3,VA
217934,2,SC
455983,3,VA
112561,1,CA
177065,2,MO
144281,2,IL
112570,2,CA
238573,2,WI
420556,1,OR
480693,3,MD
217925,2,SC
450933,3,AL
219888,1,TN
139348,2,GA
190150,2,NY
190169,1,NY
202152,1,OH
202170,2,OH
202222,1,OH
139366,1,GA
139357,1,GA
491215,3,AZ
366261,2,TX
212975,2,PA
439570,2,OK
446163,2,CA
210605,1,PA
126863,1,CO
434672,1,MD
211079,1,PA
126942,1,CO
215239,1,PA
217475,1,RI
230861,1,VT
452540,2,OH
447962,3,LA
459417,2,MI
112686,1,CA
423120,3,FL
177083,2,MO
237330,1,WV
126687,3,CO
460181,3,TX
123679,3,CA
441742,3,TX
155283,3,MO
219903,3,TN
124937,3,CA
208479,3,OR
460206,3,TX
124706,3,CA
120661,3,CA
487588,3,MS
133845,3,FL
133854,3,FL
460190,3,FL
133863,3,FL
190248,2,NY
173300,2,MN
177092,2,MO
150288,2,IN
169363,2,MI
224004,2,TX
144351,2,IL
112075,2,CA
180984,2,NE
173328,2,MN
238616,2,WI
493600,2,NY
128902,2,CT
206996,1,OK
262341,3,AZ
488040,3,SC
182652,3,NH
467094,3,NY
374990,3,NY
190318,3,NY
194435,3,NY
112826,1,CA
112817,1,CA
491950,3,CA
217961,2,SC
165495,2,MA
190372,2,NY
175573,1,MS
395362,1,CA
162283,1,MD
210331,2,OR
451343,3,MS
153162,2,IA
190415,2,NY
170037,2,MI
235024,2,WA
215044,3,PA
387925,3,FL
434308,3,MD
438285,3,FL
134574,3,FL
128896,3,CT
486770,3,TX
144795,3,IL
482200,3,TX
173470,3,MN
147642,3,IL
445780,3,ID
407142,3,LA
459189,3,CA
106795,1,AR
113096,1,CA
177117,2,MO
184180,1,NJ
139393,2,GA
226675,2,TX
177126,2,MO
154952,1,KS
176770,2,MO
144485,3,IL
454874,3,FL
113111,1,CA
169424,2,MI
417503,3,KS
198367,1,NC
419484,1,PA
169813,3,MI
434830,3,OH
444051,3,OH
483911,3,IL
181002,2,NE
158617,3,LA
180090,3,MT
475608,2,TX
177135,1,MO
106810,2,AR
174862,2,MN
493530,3,VA
371830,3,CA
417248,1,CT
496715,3,TX
113193,1,CA
444565,3,TX
190503,2,NY
486390,3,NY
446206,1,VA
177144,2,MO
219949,2,TN
190512,1,NY
190521,1,NY
190530,1,NY
190549,1,NY
190567,1,NY
190576,1,NY
190585,1,NY
190594,1,NY
190600,1,NY
190619,1,NY
190628,1,NY
190637,1,NY
190646,1,NY
190655,1,NY
190664,1,NY
190673,1,NY
190682,1,NY
475565,1,NY
190035,1,NY
190691,1,NY
165529,2,MA
211893,2,PA
490300,3,NJ
202356,1,OH
204981,1,OH
113218,1,CA
190707,2,NY
480888,3,TX
113236,1,CA
496070,2,NY
461306,1,FL
492096,3,MI
190716,2,NY
231873,1,VA
190725,2,NY
200314,1,ND
173416,1,MN
219082,1,SD
219091,2,SD
224226,2,TX
443021,3,TX
224244,2,TX
224615,1,TX
224271,2,TX
224305,2,TX
487959,3,GA
139463,1,GA
144564,1,IL
231882,1,VA
455178,3,NC
182670,2,NH
169479,2,MI
169503,3,MI
198385,2,NC
198376,1,NC
486859,3,NE
237358,2,WV
202435,3,OH
194569,2,NY
230162,1,UT
130873,3,DE
180151,1,MT
496469,2,CA
202453,3,OH
449700,3,OH
447014,3,FL
133386,1,FL
406413,3,PA
113333,1,CA
165574,2,MA
484084,3,IL
202514,2,OH
488192,3,CA
224350,1,TX
406361,1,NY
432524,2,DE
211927,1,PA
430971,1,PA
449472,3,DE
130934,1,DE
130882,1,DE
130907,1,DE
211981,2,PA
158662,1,LA
113537,2,CA
162335,3,MD
175607,3,MS
169521,1,MI
402563,3,LA
366270,3,LA
483355,3,LA
483364,3,LA
490540,3,AR
175616,1,MS
447023,3,MS
493804,3,TX
158787,3,LA
202523,2,OH
449603,3,IN
217989,1,SC
452771,3,OH
452780,3,OH
454856,3,CO
126979,2,CO
144740,2,IL
150400,2,IN
494463,2,NY
484923,3,VA
153214,1,IA
154156,2,IA
210739,2,PA
113582,3,CA
441256,3,CA
480921,3,AR
169576,3,MI
482413,3,NY
144777,3,IL
482422,3,AZ
482431,3,CA
482440,3,CO
482459,3,FL
482468,3,GA
482477,3,IL
482486,3,IN
482538,3,MO
482547,3,NV
482556,3,NJ
482565,3,NC
482574,3,OH
482608,3,PA
482617,3,TN
482635,3,TX
482653,3,VA
113634,1,CA
476780,3,CA
461388,3,TX
212009,2,PA
200059,1,ND
373526,3,LA
260664,3,LA
443410,3,WA
480028,3,NY
490498,2,LA
451255,3,MA
158802,2,LA
165608,1,MA
105297,1,AZ
184278,3,NJ
235088,3,WA
395690,3,CA
445869,2,VA
153241,2,IA
230171,1,UT
451583,1,UT
211802,3,PA
181020,2,NE
154998,1,KS
485607,3,CT
190761,2,NY
113704,2,CA
148496,2,IL
113698,2,CA
150428,3,IN
122117,2,CA
155007,2,KS
153250,2,IA
169761,3,MI
483504,3,MI
250744,3,MI
455558,3,MI
460482,3,MI
247153,3,MI
495837,3,MI
169734,3,MI
212045,3,PA
261436,3,MI
371690,1,CA
262466,2,CO
449481,2,FL
153269,2,IA
184348,2,NJ
212054,2,PA
177214,2,MO
492801,2,MO
492139,3,MI
198419,2,NC
175227,2,MN
212106,2,PA
495253,3,OK
198455,1,NC
431105,1,NY
190840,1,NY
458043,3,TX
220057,1,TN
154466,3,IA
488174,3,MO
496326,3,ID
447421,3,UT
230366,3,UT
150455,2,IN
106883,1,AR
198464,1,NC
177250,1,MO
175643,1,MS
207041,1,OK
139621,1,GA
113856,1,CA
175652,1,MS
204884,3,OH
212115,1,PA
220075,1,TN
224527,2,TX
441210,1,AZ
439394,3,FL
208637,3,OR
483799,3,WI
144883,2,IL
